judul,penulis,penerbit,kategori,stok
Pemrograman Laravel untuk Pemula,Ahmad Fauzi,Elex Media,teknonologi,5
Desain Antarmuka Web Modern,Siti Rahma,Andi Offset,teknologi,3
Algoritma dan Struktur Data,Bambang Prasetyo,Gramedia,teknologi,7
Machine Learning untuk Pemula,Dewi Anggraini,Erlangga,teknologi,4
Basis Data Relasional,Agus Salim,Penerbit Informatika,teknologi,6
Novel Laskar Pelangi,Andrea Hirata,Gramedia,novel,10
Novel Bumi Manusia,Pramoedya Ananta Toer,Hasta Mitra,novel,8
Kimia Dasar untuk SMA,Dr. Sigit Sulistyo,Nobel Ilmu Populer,kimia,5
Fisika Modern untuk Mahasiswa,Johan Christian,Frempong Academic,fisika,4
Biologi Sel dan Molekuler,Prof. Maria S.W.,Penerbit Andi,biologi,6
Matematika Diskrit,Rinaldi Munir,Informatika Bandung,matematika,7
Sejarah Indonesia untuk SMA,Iwan Krida,Nusa Media,sejarah,5
Geografi Fisik Dunia,Dr. Retno Palupi,Graha Ilmu,geografi,4
Grammar Bahasa Inggris,Lisa Handayani,Erlangga,bahasa,8